S.No,Gene Product,Gene (Common Name),Gene ID,Included in Training Set 1,Included in Training Set 2,Drug,Reference
77,Enoyl-ACP reductase,ENR / FabI,PF3D7_0615100,Yes,Yes,"Triclosan [1]
Genz 8575 [2]","Tasdemir, Deniz, et al. ""Inhibition of Plasmodium f alciparum fatty acid biosynthesis: evaluation of FabG, FabZ, and FabI as drug targets for flavonoids."" Journal of medicinal chemistry 49.11 (2006): 3345-3353.
[1] Surolia, N, and A Surolia. “Triclosan offers protection against blood stages of malaria by inhibiting enoyl-ACP reductase of Plasmodium falciparum.” Nature medicine vol. 7,2 (2001): 167-73. doi:10.1038/84612
[1] McLeod, R et al. “Triclosan inhibits the growth of Plasmodium falciparum and Toxoplasma gondii by inhibition of apicomplexan Fab I.” International journal for parasitology vol. 31,2 (2001): 109-13. doi:10.1016/s0020-7519(01)00111-4
Kuo, Mack R et al. “Targeting tuberculosis and malaria through inhibition of Enoyl reductase: compound activity and structural data.” The Journal of biological chemistry vol. 278,23 (2003): 20851-9. doi:10.1074/jbc.M211968200"
78,Adenosine deaminase,ADA,PF3D7_1029600,Yes,Yes,"5′-MeS-Coformycin [1]
Deoxycoformycin [2]**","[1] Tyler, Peter C et al. “Synthesis of 5'-methylthio coformycins: specific inhibitors for malarial adenosine deaminase.” Journal of the American Chemical Society vol. 129,21 (2007): 6872-9. doi:10.1021/ja0708363
[2] Becker, John V W et al. “Plasmodium falciparum spermidine synthase inhibition results in unique perturbation-specific effects observed on transcript, protein and metabolite levels.” BMC genomics vol. 11 235. 12 Apr. 2010, doi:10.1186/1471-2164-11-235
Ting, Li-Min et al. “Targeting a novel Plasmodium falciparum purine recycling pathway with specific immucillins.” The Journal of biological chemistry vol. 280,10 (2005): 9547-54. doi:10.1074/jbc.M412693200
*Larson, Eric T et al. “Structures of substrate- and inhibitor-bound adenosine deaminase from a human malaria parasite show a dramatic conformational change and shed light on drug selectivity.” Journal of molecular biology vol. 381,4 (2008): 975-88. doi:10.1016/j.jmb.2008.06.048
*Ho, Meng-Chiao et al. “Structural and metabolic specificity of methylthiocoformycin for malarial adenosine deaminases.” Biochemistry vol. 48,40 (2009): 9618-26. doi:10.1021/bi9012484"
79,Protein farnesyltransferase subunit beta,FTB,PF3D7_1147500,Yes,Yes,"MMV019066 [1]
R115777 [2]
BMS-388891 [3]
 L-745631 [4]
FTI-276 [5]","[1] Cowell, Annie N et al. “Mapping the malaria parasite druggable genome by using in vitro evolution and chemogenomics.” Science (New York, N.Y.) vol. 359,6372 (2018): 191-199. doi:10.1126/science.aan4472
[2] Ha, Young Ran et al. “Effect of Farnesyltransferase Inhibitor R115777 on Mitochondria of Plasmodium falciparum.” The Korean journal of parasitology vol. 53,4 (2015): 421-30. doi:10.3347/kjp.2015.53.4.421
[3] Eastman, Richard T et al. “Resistance to a protein farnesyltransferase inhibitor in Plasmodium falciparum.” The Journal of biological chemistry vol. 280,14 (2005): 13554-9. doi:10.1074/jbc.M413556200
Kohring, Katja et al. “Development of benzophenone-based farnesyltransferase inhibitors as novel antimalarials.” ChemMedChem vol. 3,8 (2008): 1217-31. doi:10.1002/cmdc.200800043
Glenn, Matthew P et al. “Structurally simple, potent, Plasmodium selective farnesyltransferase inhibitors that arrest the growth of malaria parasites.” Journal of medicinal chemistry vol. 49,19 (2006): 5710-27. doi:10.1021/jm060081v
Fletcher, Steven et al. “Potent, Plasmodium-selective farnesyltransferase inhibitors that arrest the growth of malaria parasites: structure-activity relationships of ethylenediamine-analogue scaffolds and homology model validation.” Journal of medicinal chemistry vol. 51,17 (2008): 5176-97. doi:10.1021/jm800113p
Olepu, Srinivas et al. “2-Oxo-tetrahydro-1,8-naphthyridines as selective inhibitors of malarial protein farnesyltransferase and as anti-malarials.” Bioorganic & medicinal chemistry letters vol. 18,2 (2008): 494-7. doi:10.1016/j.bmcl.2007.11.104"
80,Beta-tubulin,bTub,PF3D7_1008700,Yes,Yes,"Oryzalin [1]
APM [2]
Ttrifluralin [3]","[1,2] Dempsey, Enda et al. “Antimitotic herbicides bind to an unidentified site on malarial parasite tubulin and block development of liver-stage Plasmodium parasites.” Molecular and biochemical parasitology vol. 188,2 (2013): 116-27. doi:10.1016/j.molbiopara.2013.03.001
[1,2] Hirst, William G et al. “Purification of functional Plasmodium falciparum tubulin allows for the identification of parasite-specific microtubule inhibitors.” Current biology : CB vol. 32,4 (2022): 919-926.e6. doi:10.1016/j.cub.2021.12.049
[3] Fennell, Brian J et al. “Cellular and molecular actions of dinitroaniline and phosphorothioamidate herbicides on Plasmodium falciparum: tubulin as a specific antimalarial target.” Molecular and biochemical parasitology vol. 145,2 (2006): 226-38. doi:10.1016/j.molbiopara.2005.08.020"
81,Alpha-tubulin,aTub,PF3D7_0903700,Yes,Yes,"Oryzalin [1]
APM [2]
Ttrifluralin [3]","[1,2] Dempsey, Enda et al. “Antimitotic herbicides bind to an unidentified site on malarial parasite tubulin and block development of liver-stage Plasmodium parasites.” Molecular and biochemical parasitology vol. 188,2 (2013): 116-27. doi:10.1016/j.molbiopara.2013.03.001
[1,2] Hirst, William G et al. “Purification of functional Plasmodium falciparum tubulin allows for the identification of parasite-specific microtubule inhibitors.” Current biology : CB vol. 32,4 (2022): 919-926.e6. doi:10.1016/j.cub.2021.12.049
[3] Fennell, Brian J et al. “Cellular and molecular actions of dinitroaniline and phosphorothioamidate herbicides on Plasmodium falciparum: tubulin as a specific antimalarial target.” Molecular and biochemical parasitology vol. 145,2 (2006): 226-38. doi:10.1016/j.molbiopara.2005.08.020"
82,Plasmepsin X,PMX,PF3D7_0808200,No,Yes,"49c [1]
WM4 [2]
Aminohydantoins (TCMD-134675 , TCMD- 136879, CWHM-117) [3]
Compound 7k [4]
Ritonavir [5]
WM382 (Dual with PMIX) [6]","[1] Kesari, Pooja et al. “Structures of plasmepsin X from Plasmodium falciparum reveal a novel inactivation mechanism of the zymogen and molecular basis for binding of inhibitors in mature enzyme.” Protein science : a publication of the Protein Society vol. 31,4 (2022): 882-899. doi:10.1002/pro.4279
[2.6] Hodder, Anthony N et al. “Basis for drug selectivity of plasmepsin IX and X inhibition in Plasmodium falciparum and vivax.” Structure (London, England : 1993) vol. 30,7 (2022): 947-961.e6. doi:10.1016/j.str.2022.03.018
[2,6] Favuzza, Paola et al. “Dual Plasmepsin-Targeting Antimalarial Agents Disrupt Multiple Stages of the Malaria Parasite Life Cycle.” Cell host & microbe vol. 27,4 (2020): 642-658.e12. doi:10.1016/j.chom.2020.02.005
[3] Nasamu, Armiyaw S et al. “Plasmepsins IX and X are essential and druggable mediators of malaria parasite egress and invasion.” Science (New York, N.Y.) vol. 358,6362 (2017): 518-522. doi:10.1126/science.aan1478
[4] Kovada, Vadims et al. “Macrocyclic Peptidomimetic Plasmepsin X Inhibitors with Potent In Vitro and In Vivo Antimalarial Activity.” Journal of medicinal chemistry vol. 66,15 (2023): 10658-10680. doi:10.1021/acs.jmedchem.3c00812
[5] Mishra, Vandana et al. “Inhibition of Plasmodium falciparum plasmepsins by drugs targeting HIV-1 protease: A way forward for antimalarial drug discovery.” Current research in structural biology vol. 7 100128. 17 Jan. 2024, doi:10.1016/j.crstbi.2024.100128
Richardson, Lachlan W et al. “Substrate Peptidomimetic Inhibitors of P. falciparum Plasmepsin X with Potent Antimalarial Activity.” ChemMedChem vol. 17,18 (2022): e202200306. doi:10.1002/cmdc.202200306"
83,Phosphatidylinositol 4-kinase,PI4K,PF3D7_0509800,No,Yes,"MMV390048 [1]
KDU691 [2]
KAI407 [3]
BQR695 [4]
BRD73842 [5]
CHMFL-PI4K-127 [6]
NCATS-SM3710 [7]","McNamara, Case W et al. “Targeting Plasmodium PI(4)K to eliminate malaria.” Nature vol. 504,7479 (2013): 248-253. doi:10.1038/nature12782
Dechering, Koen J et al. “Modelling mosquito infection at natural parasite densities identifies drugs targeting EF2, PI4K or ATP4 as key candidates for interrupting malaria transmission.” Scientific reports vol. 7,1 17680. 15 Dec. 2017, doi:10.1038/s41598-017-16671-0
[1] Paquet, Tanya et al. “Antimalarial efficacy of MMV390048, an inhibitor of Plasmodium phosphatidylinositol 4-kinase.” Science translational medicine vol. 9,387 (2017): eaad9735. doi:10.1126/scitranslmed.aad9735
[6] Liang, Xiaofei et al. “Discovery of 6'-chloro-N-methyl-5'-(phenylsulfonamido)-[3,3'-bipyridine]-5-carboxamide (CHMFL-PI4K-127) as a novel Plasmodium falciparum PI(4)K inhibitor with potent antimalarial activity against both blood and liver stages of Plasmodium.” European journal of medicinal chemistry vol. 188 (2020): 112012. doi:10.1016/j.ejmech.2019.112012
[7] Krishnan, Karthik et al. “Torin 2 Derivative, NCATS-SM3710, Has Potent Multistage Antimalarial Activity through Inhibition of P. falciparum Phosphatidylinositol 4-Kinase (Pf PI4KIIIβ).” ACS pharmacology & translational science vol. 3,5 948-964. 11 Sep. 2020, doi:10.1021/acsptsci.0c00078"
84,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,IspD,PF3D7_0106900,No,Yes,"MMV08138 [1]
Fosmidomycin [2]
MMV019313 [3]
1R,3S-MMV008138 [4]","[1] Wu, Wesley et al. “A chemical rescue screen identifies a Plasmodium falciparum apicoplast inhibitor targeting MEP isoprenoid precursor biosynthesis.” Antimicrobial agents and chemotherapy vol. 59,1 (2015): 356-64. doi:10.1128/AAC.03342-14
[2] Zhang, Baichen et al. “A second target of the antimalarial and antibacterial agent fosmidomycin revealed by cellular metabolic profiling.” Biochemistry vol. 50,17 (2011): 3570-7. doi:10.1021/bi200113y
[4] Imlay, Leah S et al. “Plasmodium IspD (2-C-Methyl-D-erythritol 4-Phosphate Cytidyltransferase), an Essential and Druggable Antimalarial Target.” ACS infectious diseases vol. 1,4 (2015): 157-167. doi:10.1021/id500047s
Willocx, Daan et al. “Targeting Plasmodium falciparum IspD in the Methyl-d-erythritol Phosphate Pathway: Urea-Based Compounds with Nanomolar Potency on Target and Low-Micromolar Whole-Cell Activity.” Journal of medicinal chemistry vol. 67,19 (2024): 17070-17086. doi:10.1021/acs.jmedchem.4c00212
Diamanti, Eleonora et al. “Targeting the IspD Enzyme in the MEP Pathway: Identification of a Novel Fragment Class.” ChemMedChem vol. 17,5 (2022): e202100679. doi:10.1002/cmdc.202100679"
85,Subtilisin-like protease 1,SUB1,PF3D7_0507500,No,Yes,Peptidic boronic acids [1],"[1] Lidumniece, Elina et al. “Peptidic boronic acids are potent cell-permeable inhibitors of the malaria parasite egress serine protease SUB1.” Proceedings of the National Academy of Sciences of the United States of America vol. 118,20 (2021): e2022696118. doi:10.1073/pnas.2022696118
[1] Withers-Martinez, Chrislaine et al. “Peptidic Boronic Acid Plasmodium falciparum SUB1 Inhibitors with Improved Selectivity over Human Proteasome.” Journal of medicinal chemistry vol. 67,15 (2024): 13033-13055. doi:10.1021/acs.jmedchem.4c01005
Withers-Martinez, Chrislaine et al. “Plasmodium subtilisin-like protease 1 (SUB1): insights into the active-site structure, specificity and function of a pan-malaria drug target.” International journal for parasitology vol. 42,6 (2012): 597-612. doi:10.1016/j.ijpara.2012.04.005
Alam, Asrar. “Serine Proteases of Malaria Parasite Plasmodium falciparum: Potential as Antimalarial Drug Targets.” Interdisciplinary perspectives on infectious diseases vol. 2014 (2014): 453186. doi:10.1155/2014/453186"
86,Topoisomerase VIB,TopoVIB / TOP6B,PF3D7_1365600,No,Yes,"Radicicol [1]
Etoposide [2]
Analog 2 [3]","[1] Chalapareddy, Sureshkumar et al. “Radicicol confers mid-schizont arrest by inhibiting mitochondrial replication in Plasmodium falciparum.” Antimicrobial agents and chemotherapy vol. 58,8 (2014): 4341-52. doi:10.1128/AAC.02519-13
[1,2] Chalapareddy, Sureshkumar et al. “Radicicol-Mediated Inhibition of Topoisomerase VIB-VIA Activity of the Human Malaria Parasite Plasmodium falciparum.” mSphere vol. 1,1 e00025-15. 6 Jan. 2016, doi:10.1128/mSphere.00025-15
[3] Bansod, Shephali et al. “Molecular docking and molecular dynamics simulation identify a novel Radicicol derivative that predicts exclusive binding to Plasmodium falciparum Topoisomerase VIB.” Journal of biomolecular structure & dynamics vol. 40,15 (2022): 6939-6951. doi:10.1080/07391102.2021.1891970"
87,Apicortin,DCX,PF3D7_0517800,No,Yes,"TMX [1]
miR-197 [2]","[1] Chakrabarti, Malabika et al. “Interaction of Plasmodium falciparum apicortin with α- and β-tubulin is critical for parasite growth and survival.” Scientific reports vol. 11,1 4688. 25 Feb. 2021, doi:10.1038/s41598-021-83513-5
[2] Chakrabarti, Malabika et al. “Targeted repression of Plasmodium apicortin by host microRNA impairs malaria parasite growth and invasion.” Disease models & mechanisms vol. 13,6 dmm042820. 3 Jun. 2020, doi:10.1242/dmm.042820
Orosz, Ferenc. “Apicortin, a Constituent of Apicomplexan Conoid/Apical Complex and Its Tentative Role in Pathogen-Host Interaction.” Tropical medicine and infectious disease vol. 6,3 118. 30 Jun. 2021, doi:10.3390/tropicalmed6030118"
88,DNA Gyrase subunit B,GyrB,PF3D7_1239500,No,Yes,PPG [1],"[1] Pakosz, Zuzanna et al. “Inhibitory Compounds Targeting Plasmodium falciparum Gyrase B.” Antimicrobial agents and chemotherapy vol. 65,10 (2021): e0026721. doi:10.1128/AAC.00267-21
Raghu Ram, E V S et al. “Nuclear gyrB encodes a functional subunit of the Plasmodium falciparum gyrase that is involved in apicoplast DNA replication.” Molecular and biochemical parasitology vol. 154,1 (2007): 30-9. doi:10.1016/j.molbiopara.2007.04.001
Nagano, Soshichiro et al. “Unique features of apicoplast DNA gyrases from Toxoplasma gondii and Plasmodium falciparum.” BMC bioinformatics vol. 15,1 416. 19 Dec. 2014, doi:10.1186/s12859-014-0416-9"
89,RAC-beta serine/threonine protein kinase,PKB,PF3D7_1246900,No,Yes,"Go 6983 [1]
A443654 [2]","[1] Kumar, Amit et al. “PfPKB, a novel protein kinase B-like enzyme from Plasmodium falciparum: I. Identification, characterization, and possible role in parasite development.” The Journal of biological chemistry vol. 279,23 (2004): 24255-64. doi:10.1074/jbc.M312855200
[2] Vaid, Ankush et al. “Role of Ca2+/calmodulin-PfPKB signaling pathway in erythrocyte invasion by Plasmodium falciparum.” The Journal of biological chemistry vol. 283,9 (2008): 5589-97. doi:10.1074/jbc.M708465200
Ong, Han Wee et al. “Characterization of 2,4-Dianilinopyrimidines Against Five P. falciparum Kinases PfARK1, PfARK3, PfNEK3, PfPK9, and PfPKB.” ACS medicinal chemistry letters vol. 14,12 1774-1784. 27 Nov. 2023, doi:10.1021/acsmedchemlett.3c00354"
90,Pantothenate kinase 1,PANK1,PF3D7_1420600,No,Yes,"Gnetin C [1]
PanOH [2]
CJ-15,801 [2]
CJ-15,801 analogues [3]
Pantothenic Acid Analogs [4]","[1] Nurkanto, Arif et al. “Characterization of Plasmodium falciparum Pantothenate Kinase and Identification of Its Inhibitors From Natural Products.” Frontiers in cellular and infection microbiology vol. 11 639065. 9 Mar. 2021, doi:10.3389/fcimb.2021.639065
[2] Tjhin, Erick T et al. “Mutations in the pantothenate kinase of Plasmodium falciparum confer diverse sensitivity profiles to antiplasmodial pantothenate analogues.” PLoS pathogens vol. 14,4 e1006918. 3 Apr. 2018, doi:10.1371/journal.ppat.1006918
[3] Spry, Christina et al. “Structure-activity analysis of CJ-15,801 analogues that interact with Plasmodium falciparum pantothenate kinase and inhibit parasite proliferation.” European journal of medicinal chemistry vol. 143 (2018): 1139-1147. doi:10.1016/j.ejmech.2017.08.050
[4] Spry, Christina et al. “A class of pantothenic acid analogs inhibits Plasmodium falciparum pantothenate kinase and represses the proliferation of malaria parasites.” Antimicrobial agents and chemotherapy vol. 49,11 (2005): 4649-57. doi:10.1128/AAC.49.11.4649-4657.2005"
91,Lysophospholipase 1,LPL1,PF3D7_1476700,No,Yes,"EcAgNPs [1]
LAMe [2]
C3 [3]","[1] Tiwari, Savitri et al. “Biogenically synthesized green silver nanoparticles exhibit antimalarial activity.” Discover nano vol. 19,1 136. 31 Aug. 2024, doi:10.1186/s11671-024-04098-2
[2,3] Dienemann, Jan-Niklas et al. “A Chemical Proteomic Strategy Reveals Inhibitors of Lipoate Salvage in Bacteria and Parasites.” Angewandte Chemie (International ed. in English) vol. 62,31 (2023): e202304533. doi:10.1002/anie.202304533
Asad, Mohd et al. “An essential vesicular-trafficking phospholipase mediates neutral lipid synthesis and contributes to hemozoin formation in Plasmodium falciparum.” BMC biology vol. 19,1 159. 11 Aug. 2021, doi:10.1186/s12915-021-01042-z"
92,"3',5'-cyclic nucleotide phosphodiesterase beta",PDEbeta,PF3D7_1321500,No,Yes,"Zaprinast [1]
BIPPO [2]","Flueck, Christian et al. “Phosphodiesterase beta is the master regulator of cAMP signalling during malaria parasite invasion.” PLoS biology vol. 17,2 e3000154. 22 Feb. 2019, doi:10.1371/journal.pbio.3000154
[1] Yuasa, Keizo et al. “PfPDE1, a novel cGMP-specific phosphodiesterase from the human malaria parasite Plasmodium falciparum.” The Biochemical journal vol. 392,Pt 1 (2005): 221-9. doi:10.1042/BJ20050425
[2] Howard, Brittany L et al. “Identification of potent phosphodiesterase inhibitors that demonstrate cyclic nucleotide-dependent functions in apicomplexan parasites.” ACS chemical biology vol. 10,4 (2015): 1145-54. doi:10.1021/cb501004q
*Gomez-Gonzalez, Paula-Josefina et al. “Inhibitors of malaria parasite cyclic nucleotide phosphodiesterases block asexual blood-stage development and mosquito transmission.” Science advances vol. 10,49 (2024): eadq1383. doi:10.1126/sciadv.adq1383"
93,Adenylyl cyclase beta,ACbeta,PF3D7_0802600,No,Yes,"KH7 [1]
2-CE [2]","[1,2] Salazar, Eric et al. “Characterization of Plasmodium falciparum adenylyl cyclase-β and its role in erythrocytic stage parasites.” PloS one vol. 7,6 (2012): e39769. doi:10.1371/journal.pone.0039769
*Dawn, Amrita et al. “The central role of cAMP in regulating Plasmodium falciparum merozoite invasion of human erythrocytes.” PLoS pathogens vol. 10,12 e1004520. 18 Dec. 2014, doi:10.1371/journal.ppat.1004520
*Lasonder, Edwin et al. “cAMP-Dependent Signaling Pathways as Potential Targets for Inhibition of Plasmodium falciparum Blood Stages.” Frontiers in microbiology vol. 12 684005. 24 May. 2021, doi:10.3389/fmicb.2021.684005"
94,Cytoadherence linked asexual protein 3.1,CLAG3.1,PF3D7_0302500,No,Yes,"PRT [1]
ISPA-28 [2] 
Furosemide derivatives [3]","[1] Staines, Henry M et al. “Exploiting the therapeutic potential of Plasmodium falciparum solute transporters.” Trends in parasitology vol. 26,6 (2010): 284-96. doi:10.1016/j.pt.2010.03.004
[2] Ekland, Eric H et al. “Taking Charge: Feeding Malaria via Anion Channels.” Cell vol. 145,5 (2011): 645-7. doi:10.1016/j.cell.2011.05.012
[3] Pain, Margaret et al. “Synergistic Malaria Parasite Killing by Two Types of Plasmodial Surface Anion Channel Inhibitors.” PloS one vol. 11,2 e0149214. 11 Feb. 2016, doi:10.1371/journal.pone.0149214"
95,Cytoadherence linked asexual protein 3.2,CLAG3.2,PF3D7_0302200,No,Yes,"PRT [1]
ISPA-28 [2] 
Furosemide derivatives [3]","[1] Staines, Henry M et al. “Exploiting the therapeutic potential of Plasmodium falciparum solute transporters.” Trends in parasitology vol. 26,6 (2010): 284-96. doi:10.1016/j.pt.2010.03.004
[2] Ekland, Eric H et al. “Taking Charge: Feeding Malaria via Anion Channels.” Cell vol. 145,5 (2011): 645-7. doi:10.1016/j.cell.2011.05.012
[3] Pain, Margaret et al. “Synergistic Malaria Parasite Killing by Two Types of Plasmodial Surface Anion Channel Inhibitors.” PloS one vol. 11,2 e0149214. 11 Feb. 2016, doi:10.1371/journal.pone.0149214"
96,Cytochrome b-c1 complex subunit Rieske,Rieske,PF3D7_1439400,No,No,Atovaquone,"Sheokand, Pradeep Kumar et al. “Plasmodium falciparum Mitochondrial Complex III, the Target of Atovaquone, Is Essential for Progression to the Transmissible Sexual Stages.” International journal of molecular sciences vol. 25,17 9239. 26 Aug. 2024, doi:10.3390/ijms25179239
Hughes, Louise M et al. “Probing binding determinants in center P of the cytochrome bc(1) complex using novel hydroxy-naphthoquinones.” Biochimica et biophysica acta vol. 1797,1 (2010): 38-43. doi:10.1016/j.bbabio.2009.07.010
Kessl, Jacques J et al. “Molecular basis for atovaquone binding to the cytochrome bc1 complex.” The Journal of biological chemistry vol. 278,33 (2003): 31312-8. doi:10.1074/jbc.M304042200"
97,TP-dependent zinc metalloprotease FTSH 1,FTSH1,PF3D7_1239700,No,No,Actinonin [1],"[1] Amberg-Johnson, Katherine et al. “Small molecule inhibition of apicomplexan FtsH1 disrupts plastid biogenesis in human pathogens.” eLife vol. 6 e29865. 18 Aug. 2017, doi:10.7554/eLife.29865
Goodman, Christopher D et al. “A single point mutation in the Plasmodium falciparum FtsH1 metalloprotease confers actinonin resistance.” eLife vol. 9 e58629. 17 Jul. 2020, doi:10.7554/eLife.58629
Amberg-Johnson, Katherine, et al. ""A first-in-class inhibitor of parasite FtsH disrupts plastid biogenesis in human pathogens."" bioRxiv (2017): 108910."
98,Apical membrane antigen 1,AMA1,PF3D7_1133400,No,No,"F1 peptide [1]
mAb4G2 [2]
tF1, F1tbp [3]","[1] Li F, Dluzewski A, Coley AM, Thomas A, Tilley L, Anders RF, Foley M. Phage-displayed peptides bind to the malarial protein apical membrane antigen-1 and inhibit the merozoite invasion of host erythrocytes. J Biol Chem. 2002 Dec 27;277(52):50303-10. doi: 10.1074/jbc.M207985200. Epub 2002 Oct 14. PMID: 12381731.
[2] Kocken CH, van der Wel AM, Dubbeld MA, Narum DL, van de Rijke FM, van Gemert GJ, van der Linde X, Bannister LH, Janse C, Waters AP, Thomas AW. Precise timing of expression of a Plasmodium falciparum-derived transgene in Plasmodium berghei is a critical determinant of subsequent subcellular localization. J Biol Chem. 1998 Jun 12;273(24):15119-24. doi: 10.1074/jbc.273.24.15119. PMID: 9614123.
[3] Keizer DW, Miles LA, Li F, Nair M, Anders RF, Coley AM, Foley M, Norton RS. Structures of phage-display peptides that bind to the malarial surface protein, apical membrane antigen 1, and block erythrocyte invasion. Biochemistry. 2003 Aug 26;42(33):9915-23. doi: 10.1021/bi034376b. PMID: 12924940.
Harris KS, Casey JL, Coley AM, Masciantonio R, Sabo JK, Keizer DW, Lee EF, McMahon A, Norton RS, Anders RF, Foley M. Binding hot spot for invasion inhibitory molecules on Plasmodium falciparum apical membrane antigen 1. Infect Immun. 2005 Oct;73(10):6981-9. doi: 10.1128/IAI.73.10.6981-6989.2005. PMID: 16177378; PMCID: PMC1230972.
Ge, Xiaopeng et al. “Ligand-induced conformational change of Plasmodium falciparum AMA1 detected using 19F NMR.” Journal of medicinal chemistry vol. 57,15 (2014): 6419-27. doi:10.1021/jm500390g"
99,Phosphatidylinositol-3-kinase,PI3K,PF3D7_0515300,No,No,"Wortmannin
LY294002","Vaid, Ankush et al. “PfPI3K, a phosphatidylinositol-3 kinase from Plasmodium falciparum, is exported to the host erythrocyte and is involved in hemoglobin trafficking.” Blood vol. 115,12 (2010): 2500-7. doi:10.1182/blood-2009-08-238972
Verma, Kanika et al. “An integrated virtual screening and drug repurposing strategy for the discovery of new antimalarial drugs against Plasmodium falciparum phosphatidylinositol 3-kinase.” Journal of cellular biochemistry vol. 122,10 (2021): 1326-1336. doi:10.1002/jcb.29954
Tawk, Lina et al. “Phosphatidylinositol 3-phosphate, an essential lipid in Plasmodium, localizes to the food vacuole membrane and the apicoplast.” Eukaryotic cell vol. 9,10 (2010): 1519-30. doi:10.1128/EC.00124-10
Arendse, Lauren B., et al. ""Plasmodium kinases as potential drug targets for malaria: challenges and opportunities."" ACS Infectious Diseases 7.3 (2021): 518-5"
100,ATP-dependent DNA helicase,UvrD,PF3D7_0514100,No,No,dsRNA [1],"[1] Tarique, Mohammed et al. “Plasmodium falciparum UvrD activities are downregulated by DNA-interacting compounds and its dsRNA inhibits malaria parasite growth.” BMC biochemistry vol. 15 9. 3 Apr. 2014, doi:10.1186/1471-2091-15-9
[1] Tarique, Mohammed et al. “ATPase activity of Plasmodium falciparum MLH is inhibited by DNA-interacting ligands and dsRNAs of MLH along with UvrD curtail malaria parasite growth.” Protoplasma vol. 254,3 (2017): 1295-1305. doi:10.1007/s00709-016-1021-8
Tuteja, Renu. “Unraveling the importance of the malaria parasite helicases.” The FEBS journal vol. 284,16 (2017): 2592-2603. doi:10.1111/febs.14109"
